Features, Abstract features, Abstract leaf features, Abstract compound features, Concrete features, Concrete leaf features, Concrete compound features, Compound features, Leaf features, Root feature, Top features, Solitary features, Grouped features, Tree relationships, Mandatory features, Optional features, Feature groups, Alternative groups, Or groups, Mutex groups, Cardinality groups, Depth of tree, Max depth of tree, Mean depth of tree, Median depth of tree, Branching factor, Avg children per feature, Min children per feature, Max children per feature, Cross-tree constraints, Simple constraints, Requires constraints, Excludes constraints, Complex constraints, Pseudo-complex constraints, Strict-complex constraints, Features in constraints, Avg constraints per feature, Min constraints per feature, Max constraints per feature, Valid (not void), Core features, Dead features, Variant features, False-optional features, Configurations
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 3, 0, 3, 1, 2, 0, 0, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 3
4, 0, 0, 0, 4, 3, 1, 1, 3, 1, 3, 3, 0, 3, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3.0, 0.75, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 4
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 1, 3, 0, 3, 1, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 4
4, 0, 0, 0, 4, 1, 3, 3, 1, 1, 1, 3, 0, 3, 2, 1, 0, 0, 0, 0, 0, 3, 3, 3, 3, 1.0, 0.75, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 2
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 1, 3, 0, 3, 2, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 1, 0, 2
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 0, 0, 1
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 1, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 0, 0, 1
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 1, 3, 0, 3, 1, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 3
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 1, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 2, 2, 2, 2.0, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 3
4, 0, 0, 0, 4, 3, 1, 1, 3, 1, 3, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3.0, 0.75, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 0, 0, 1
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 1, 2, 2, 0, 1, 1, 0, 1, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 5
4, 0, 0, 0, 4, 3, 1, 1, 3, 1, 3, 0, 3, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 3.0, 0.75, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 6
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 0, 1, 1, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 2
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 0, 0, 0, 2, 2, 2, 2.0, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 2
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 3, 0, 3, 2, 1, 0, 0, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 1, 0, 2
4, 0, 0, 0, 4, 3, 1, 1, 3, 1, 3, 0, 3, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 3.0, 0.75, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 3
4, 0, 0, 0, 4, 1, 3, 3, 1, 1, 1, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 3, 3, 3, 1.0, 0.75, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 4
4, 0, 0, 0, 4, 1, 3, 3, 1, 1, 1, 3, 0, 3, 1, 2, 0, 0, 0, 0, 0, 3, 3, 3, 3, 1.0, 0.75, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 3
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 3, 0, 3, 2, 1, 0, 0, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 2
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 6
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 3
4, 0, 0, 0, 4, 1, 3, 3, 1, 1, 1, 3, 0, 3, 2, 1, 0, 0, 0, 0, 0, 3, 3, 3, 3, 1.0, 0.75, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 2
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 0, 1, 0, 1, 0, 0, 2, 2, 2, 2.0, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 2, 0, 3
4, 0, 0, 0, 4, 1, 3, 3, 1, 1, 1, 3, 0, 3, 2, 1, 0, 0, 0, 0, 0, 3, 3, 3, 3, 1.0, 0.75, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 1, 0, 2
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 3, 0, 3, 1, 2, 0, 0, 0, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 4
4, 0, 0, 0, 4, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 0, 1, 0, 1, 0, 0, 2, 2, 1.5, 1.5, 1.5, 0.75, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 3, 0, 3
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 0, 4, 2, 0, 0, 2, 2, 0, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 3
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 4, 0, 4, 1, 3, 0, 0, 0, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 5
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 3, 3, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 2, 2, 3, 0, 2, 1, 0, 1, 0, 0, 3, 3, 3, 3.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 5
5, 0, 0, 0, 5, 4, 1, 1, 4, 1, 4, 0, 4, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1.0, 4.0, 0.8, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 4
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 3, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 2, 2, 1.33, 1, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 1, 0, 2
5, 0, 0, 0, 5, 1, 4, 4, 1, 1, 1, 4, 0, 4, 0, 4, 0, 0, 0, 0, 0, 4, 4, 4, 4, 1.0, 0.8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 5
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 2, 2, 3, 1, 1, 1, 0, 1, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 5
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 0, 4, 2, 0, 0, 2, 1, 1, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 4
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 3, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 2, 2, 1.33, 1, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 2, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 3, 3, 2.5, 2.5, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 1, 0, 2
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 5, 0, 0, 0, 1
5, 0, 0, 0, 5, 4, 1, 1, 4, 1, 4, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1.0, 4.0, 0.8, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 1, 0, 2
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 2, 2, 3, 1, 1, 1, 0, 1, 0, 0, 3, 3, 3, 3.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 3, 3, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 3
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 1, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 3
5, 0, 0, 0, 5, 1, 4, 4, 1, 1, 1, 4, 0, 4, 1, 3, 0, 0, 0, 0, 0, 4, 4, 4, 4, 1.0, 0.8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 3, 3, 2.5, 2.5, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 2, 0, 2
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 4, 0, 4, 1, 3, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 6
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 2, 2, 3, 1, 1, 1, 0, 1, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 3, 3, 2.5, 2.5, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 5, 0, 0, 0, 1
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 1, 1, 3, 2, 1, 0, 1, 0, 0, 0, 1, 2, 2, 2, 2, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 6
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 2, 2, 3, 1, 1, 1, 1, 0, 0, 0, 3, 3, 3, 3.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 3
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 1, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 2, 0, 4
5, 0, 0, 0, 5, 4, 1, 1, 4, 1, 4, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1.0, 4.0, 0.8, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 2, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 2, 2, 3, 0, 2, 1, 1, 0, 0, 0, 3, 3, 3, 3.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 4
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 4, 0, 4, 1, 3, 0, 0, 0, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 6
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 3, 1, 3, 2, 0, 1, 1, 1, 0, 0, 0, 2, 2, 1.33, 1, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 2, 2, 3, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 3
5, 0, 0, 0, 5, 1, 4, 4, 1, 1, 1, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 4, 4, 4, 4, 1.0, 0.8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 2, 0, 3
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 2, 2, 3, 0, 2, 1, 0, 1, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 9
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 3, 1, 3, 2, 1, 0, 1, 0, 0, 0, 1, 2, 2, 1.33, 1, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 6
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 2, 0, 2
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 1, 4, 0, 4, 1, 3, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2.0, 0.8, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 8
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 2, 2, 3, 2, 0, 1, 1, 0, 0, 0, 2, 2, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 2
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 4, 0, 4, 0, 4, 0, 0, 0, 0, 0, 3, 3, 2.5, 2.5, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 7
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 2, 2, 3, 0, 2, 1, 0, 1, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 8
5, 0, 0, 0, 5, 4, 1, 1, 4, 1, 4, 0, 4, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1.0, 4.0, 0.8, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 10
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 3, 3, 2.5, 2.5, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 2
5, 0, 0, 0, 5, 1, 4, 4, 1, 1, 1, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 4, 4, 4, 4, 1.0, 0.8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 3
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 2, 2, 3, 0, 2, 1, 0, 1, 0, 0, 3, 3, 2.5, 2.5, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 6
5, 0, 0, 0, 5, 3, 2, 2, 3, 1, 2, 2, 2, 3, 2, 0, 1, 0, 1, 0, 0, 2, 2, 1.67, 2, 2.0, 0.8, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 3
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 4, 0, 4
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 2, 4, 0, 4, 3, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 1, 0, 2
5, 0, 0, 0, 5, 2, 3, 3, 2, 1, 1, 4, 0, 4, 2, 2, 0, 0, 0, 0, 0, 3, 3, 3, 3.0, 1.33, 0.8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 3
5, 0, 0, 0, 5, 4, 1, 1, 4, 1, 4, 4, 0, 4, 1, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1.0, 4.0, 0.8, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 3, 0, 8
